metro_area,population,road_length (mi),land_area (sq mi),daily_vmt (mi/day)
"Fayetteville--Springdale--Rogers, AR--MO",295083,3435,188,11431000
"Round Lake Beach--McHenry--Grayslake, IL--WI",290373,680,153,4928000
"Lexington-Fayette, KY",290263,1109,88,6372000
"Huntsville, AL",286692,2293,210,11793000
"Asheville, NC",280648,1820,265,8379000
"Davenport, IA--IL",280051,1827,138,6463000
"Canton, OH",279245,1933,166,6186000
"South Bend, IN--MI",278165,1749,161,6975000
"Antioch, CA",277634,903,81,4340000
"Springfield, MO",273724,1699,142,7687000
"Peoria, IL",266921,1723,144,5417000
"Reading, PA",266254,1210,104,5175000
"Fort Collins, CO",264465,1619,110,6487000
"Montgomery, AL",263907,1770,154,9358000
"Lakeland, FL",262596,1839,146,9556000
"Savannah, GA",260677,1795,165,11357000
"Lincoln, NE",258719,1789,88,5848000
"Santa Clarita, CA",258653,632,77,5860000
"Columbus, GA--AL",253602,1850,147,6663000
"Lafayette, LA",252720,2042,179,8153000
"Anchorage, AK",251243,938,85,3701000
"Atlantic City, NJ",248402,1636,125,6700000
"Eugene, OR",247421,1127,87,4598000
"Barnstable Town, MA",246695,2983,277,10134000
"Tallahassee, FL",240223,1253,127,6988000
"Conroe--The Woodlands, TX",239938,1886,133,11260000
"Lubbock, TX",237356,1698,96,6287000
"Salem, OR",236632,981,76,4671000
"Laredo, TX",235730,893,66,4055000
"York, PA",232045,1277,132,4547000
"Evansville, IN--KY",229351,1276,119,6431000
"Nashua, NH--MA",226400,1641,182,6475000
"Wilmington, NC",219957,1083,134,5319000
"Visalia, CA",219454,1022,63,4148000
"Killeen, TX",217630,1329,85,4726000
"Brownsville, TX",217585,991,82,4216000
"Appleton, WI",216154,1432,104,5623000
"Myrtle Beach--Socastee, SC--NC",215304,2032,190,8602000
"Concord, NC",214881,1593,180,7813000
"Thousand Oaks, CA",214811,734,86,5649000
"Aberdeen--Bel Air South--Bel Air North, MD",213751,1078,131,6295000
"Hickory, NC",212195,1634,262,5537000
"Kennewick--Pasco, WA",210975,1387,102,4638000
"Roanoke, VA",210111,1391,124,6222000
"Kalamazoo, MI",209703,1217,132,5599000
"Norwich--New London, CT--RI",209190,1342,152,5589000
"Gulfport, MS",208948,2214,165,7759000
"Green Bay, WI",206520,1364,105,5473000
"Portland, ME",203914,1264,136,5814000
"Huntington, WV--KY--OH",202637,1625,130,4819000
